<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
rcv	7493.931	D	19102	50	56586
snd	7493.931	A	56586	0	18852
rcv	7493.931	D	18852	50	56586
snd	7493.931	A	56586	0	19052
rcv	7493.931	D	18902	50	56586
snd	7493.931	A	56586	0	19052
rcv	7509.562	D	18952	50	56586
snd	7509.562	A	56586	0	19052
rcv	7509.562	D	19052	50	56586
snd	7509.562	A	56586	0	19152
rcv	7509.562	D	19102	50	56586
snd	7509.562	A	56586	0	19152
rcv	8509.663	D	19152	4	56586
snd	8509.663	A	56586	0	19156
rcv	8509.663	D	19152	4	56586
snd	8509.663	A	56586	0	19156
rcv	8509.663	F	19156	0	56586
snd	8509.663	A	56586	0	19157
snd	8509.663	F	56586	0	19157
=====================================================
Amount of (original) Data Transferred (in bytes): 1954
Number of (original) Data Segments Received: 76
Number of duplicate segments received: 36
