<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
rcv	812.612	S	17201	0	0
snd	812.612	SA	56585	0	17202
rcv	812.612	A	17202	0	56586
rcv	906.344	D	17202	50	56586
snd	906.344	A	56586	0	17252
rcv	906.344	D	17352	50	56586
snd	906.344	A	56586	0	17252
rcv	1343.892	D	17402	50	56586
snd	1343.892	A	56586	0	17252
rcv	1343.892	D	17652	50	56586
snd	1343.892	A	56586	0	17252
rcv	1343.892	D	17252	50	56586
snd	1343.892	A	56586	0	17302
rcv	1359.759	D	17302	50	56586
snd	1359.759	A	56586	0	17452
rcv	1359.759	D	17252	50	56586
snd	1359.759	A	56586	0	17452
rcv	1359.759	D	17452	50	56586
snd	1359.759	A	56586	0	17502
rcv	1359.759	D	17602	50	56586
snd	1359.759	A	56586	0	17502
rcv	1359.759	D	17652	50	56586
snd	1359.759	A	56586	0	17502
rcv	1359.759	D	17702	50	56586
snd	1359.759	A	56586	0	17502
rcv	2203.577	D	17752	50	56586
snd	2203.577	A	56586	0	17502
rcv	2203.577	D	17502	50	56586
snd	2203.577	A	56586	0	17552
rcv	2203.577	D	17602	50	56586
snd	2203.577	A	56586	0	17552
rcv	2219.183	D	17702	50	56586
snd	2219.183	A	56586	0	17552
rcv	2219.183	D	17752	50	56586
snd	2219.183	A	56586	0	17552
rcv	2750.486	D	17852	50	56586
snd	2750.486	A	56586	0	17552
rcv	2750.486	D	17652	50	56586
snd	2750.486	A	56586	0	17552
rcv	2750.486	D	17752	50	56586
snd	2750.486	A	56586	0	17552
rcv	2750.486	D	17852	50	56586
snd	2750.486	A	56586	0	17552
rcv	3359.969	D	18002	50	56586
snd	3359.969	A	56586	0	17552
rcv	3359.969	D	17552	50	56586
snd	3359.969	A	56586	0	17802
rcv	3359.969	D	17852	50	56586
snd	3359.969	A	56586	0	17802
rcv	3359.969	D	17902	50	56586
snd	3359.969	A	56586	0	17802
rcv	3359.969	D	17952	50	56586
snd	3359.969	A	56586	0	17802
rcv	3375.601	D	18102	50	56586
snd	3375.601	A	56586	0	17802
rcv	3375.601	D	17802	50	56586
snd	3375.601	A	56586	0	18052
rcv	3375.601	D	18202	50	56586
snd	3375.601	A	56586	0	18052
rcv	3391.224	D	18202	50	56586
snd	3391.224	A	56586	0	18052
rcv	3609.99	D	18302	50	56586
snd	3609.99	A	56586	0	18052
rcv	3625.611	D	18102	50	56586
snd	3625.611	A	56586	0	18052
rcv	3641.253	D	18152	50	56586
snd	3641.253	A	56586	0	18052
rcv	3641.253	D	18302	50	56586
snd	3641.253	A	56586	0	18052
rcv	3641.253	D	18402	50	56586
snd	3641.253	A	56586	0	18052
rcv	3641.253	D	18052	50	56586
snd	3641.253	A	56586	0	18252
rcv	3641.253	D	18152	50	56586
snd	3641.253	A	56586	0	18252
rcv	3641.253	D	18502	50	56586
snd	3641.253	A	56586	0	18252
rcv	3656.656	D	18052	50	56586
snd	3656.656	A	56586	0	18252
rcv	3656.656	D	18302	50	56586
snd	3656.656	A	56586	0	18252
rcv	3860.929	D	18252	50	56586
snd	3860.929	A	56586	0	18352
rcv	3860.929	D	18302	50	56586
snd	3860.929	A	56586	0	18352
rcv	3876.555	D	18602	50	56586
snd	3876.555	A	56586	0	18352
rcv	4282.762	D	18452	50	56586
snd	4282.762	A	56586	0	18352
rcv	4501.595	D	18702	50	56586
snd	4501.595	A	56586	0	18352
rcv	4501.595	D	18452	50	56586
snd	4501.595	A	56586	0	18352
rcv	4517.199	D	18502	50	56586
snd	4517.199	A	56586	0	18352
rcv	4517.199	D	18402	50	56586
snd	4517.199	A	56586	0	18352
rcv	4642.259	D	18452	50	56586
snd	4642.259	A	56586	0	18352
rcv	4657.883	D	18552	50	56586
snd	4657.883	A	56586	0	18352
rcv	4720.394	D	18402	50	56586
snd	4720.394	A	56586	0	18352
rcv	4735.785	D	18552	50	56586
snd	4735.785	A	56586	0	18352
rcv	5304.694	D	18602	50	56586
snd	5304.694	A	56586	0	18352
rcv	5382.599	D	18402	50	56586
snd	5382.599	A	56586	0	18352
rcv	5382.599	D	18452	50	56586
snd	5382.599	A	56586	0	18352
rcv	5726.41	D	18502	50	56586
snd	5726.41	A	56586	0	18352
rcv	5726.41	D	18402	50	56586
snd	5726.41	A	56586	0	18352
rcv	5726.41	D	18452	50	56586
snd	5726.41	A	56586	0	18352
rcv	5726.41	D	18602	50	56586
snd	5726.41	A	56586	0	18352
rcv	5742.012	D	18652	50	56586
snd	5742.012	A	56586	0	18352
rcv	6711.1	D	18402	50	56586
snd	6711.1	A	56586	0	18352
rcv	6711.1	D	18452	50	56586
snd	6711.1	A	56586	0	18352
rcv	6711.1	D	18502	50	56586
snd	6711.1	A	56586	0	18352
rcv	6727.932	D	18352	50	56586
snd	6727.932	A	56586	0	18752
rcv	6743.789	D	18752	50	56586
snd	6743.789	A	56586	0	18802
rcv	6743.789	D	18802	50	56586
snd	6743.789	A	56586	0	18852
rcv	6743.789	D	18902	50	56586
snd	6743.789	A	56586	0	18852
rcv	7493.931	D	18952	50	56586
snd	7493.931	A	56586	0	18852
rcv	7493.931	D	19002	50	56586
snd	7493.931	A	56586	0	18852
