<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
rcv	890.746	S	36224	0	0
snd	890.746	SA	42480	0	36225
rcv	906.358	A	36225	0	42481
rcv	1031.595	D	36275	50	42481
snd	1031.595	A	42481	0	36225
rcv	1078.475	D	36325	50	42481
snd	1078.475	A	42481	0	36225
rcv	1109.73	D	36375	50	42481
snd	1109.73	A	42481	0	36225
rcv	1109.73	D	36425	50	42481
snd	1109.73	A	42481	0	36225
rcv	1156.622	D	36475	50	42481
snd	1156.622	A	42481	0	36225
rcv	1156.622	D	36225	50	42481
snd	1156.622	A	42481	0	36525
rcv	1172.236	D	36525	50	42481
snd	1172.236	A	42481	0	36575
rcv	1172.236	D	36575	50	42481
snd	1172.236	A	42481	0	36625
rcv	1234.742	D	36625	50	42481
snd	1234.742	A	42481	0	36675
rcv	1250.393	D	36725	50	42481
snd	1250.393	A	42481	0	36675
rcv	1297.248	D	36775	50	42481
snd	1297.248	A	42481	0	36675
rcv	1375.413	D	36825	50	42481
snd	1375.413	A	42481	0	36675
rcv	1437.92	D	36675	50	42481
snd	1437.92	A	42481	0	36875
rcv	1453.546	D	36925	50	42481
snd	1453.546	A	42481	0	36875
rcv	1484.8	D	36975	50	42481
snd	1484.8	A	42481	0	36875
rcv	1484.8	D	37025	50	42481
snd	1484.8	A	42481	0	36875
rcv	1531.648	D	37125	50	42481
snd	1531.648	A	42481	0	36875
rcv	1578.555	D	36875	50	42481
snd	1578.555	A	42481	0	37075
rcv	1625.408	D	36925	50	42481
snd	1625.408	A	42481	0	37075
rcv	1641.066	D	37075	50	42481
snd	1641.066	A	42481	0	37175
rcv	1641.066	D	37175	50	42481
snd	1641.066	A	42481	0	37225
rcv	1641.066	D	37275	50	42481
snd	1641.066	A	42481	0	37225
rcv	1656.661	D	37325	50	42481
snd	1656.661	A	42481	0	37225
rcv	1656.661	D	37375	50	42481
snd	1656.661	A	42481	0	37225
rcv	1719.199	D	37425	50	42481
snd	1719.199	A	42481	0	37225
rcv	1781.708	D	37225	50	42481
snd	1781.708	A	42481	0	37475
rcv	1797.333	D	37325	50	42481
snd	1797.333	A	42481	0	37475
rcv	1812.958	D	37375	50	42481
snd	1812.958	A	42481	0	37475
rcv	1859.839	D	37475	50	42481
snd	1859.839	A	42481	0	37525
rcv	1906.719	D	37525	50	42481
snd	1906.719	A	42481	0	37575
rcv	1953.599	D	37575	50	42481
snd	1953.599	A	42481	0	37625
rcv	1969.226	D	37675	50	42481
snd	1969.226	A	42481	0	37625
rcv	2062.984	D	37625	50	42481
snd	2062.984	A	42481	0	37725
rcv	2156.714	D	37675	50	42481
snd	2156.714	A	42481	0	37725
rcv	2234.848	D	37725	50	42481
snd	2234.848	A	42481	0	37775
rcv	2422.394	D	37775	43	42481
snd	2422.394	A	42481	0	37818
rcv	2469.248	F	37818	0	42481
snd	2469.248	A	42481	0	37819
snd	2469.248	F	42481	0	37819
=====================================================
Amount of (original) Data Transferred (in bytes): 1593
Number of Data Segments Sent (excluding retransmissions): 36
Number of Duplicate Acknowledgements received: 4
