<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
snd	0.0	S	41816	0	0
rcv	0.0	SA	14288	0	41817
snd	0.0	A	41817	0	14289
snd	140.667	D	41817	50	14289
rcv	156.299	A	14289	0	41867
snd	156.299	D	41867	50	14289
snd	156.299	D	41917	50	14289
snd	156.299	D	41967	50	14289
drop	203.173	D	42017	50	14289
rcv	203.173	A	14289	0	41917
rcv	218.786	A	14289	0	41967
rcv	218.786	A	14289	0	42017
snd	218.786	D	42067	50	14289
snd	218.786	D	42117	50	14289
snd	218.786	D	42167	50	14289
snd	218.786	D	42217	50	14289
snd	218.786	D	42267	50	14289
rcv	218.786	A	14289	0	42017
rcv	218.786	A	14289	0	42017
rcv	218.786	A	14289	0	42017
snd	234.429	D	42317	50	14289
snd	250.056	D	42017	50	14289
rcv	250.056	A	14289	0	42017
rcv	265.68	A	14289	0	42017
rcv	265.68	A	14289	0	42017
rcv	312.533	A	14289	0	42367
snd	312.533	D	42017	50	14289
rcv	328.159	A	14289	0	42367
snd	390.666	D	42367	50	14289
rcv	437.566	A	14289	0	42417
snd	484.458	D	42417	50	14289
rcv	500.053	A	14289	0	42467
snd	500.053	D	42467	50	14289
rcv	515.711	A	14289	0	42517
snd	515.711	D	42517	50	14289
rcv	546.966	A	14289	0	42567
snd	546.966	D	42567	50	14289
snd	546.966	D	42617	50	14289
snd	546.966	D	42667	50	14289
rcv	609.438	A	14289	0	42617
rcv	641.11	A	14289	0	42667
snd	672.387	D	42717	50	14289
rcv	687.99	A	14289	0	42717
rcv	687.99	A	14289	0	42767
snd	750.497	D	42767	50	14289
rcv	828.63	A	14289	0	42817
snd	828.63	D	42817	50	14289
rcv	844.28	A	14289	0	42867
snd	844.28	D	42867	50	14289
rcv	859.911	A	14289	0	42917
snd	859.911	D	42917	50	14289
rcv	891.136	A	14289	0	42967
snd	953.643	D	42967	50	14289
snd	969.27	D	43017	50	14289
rcv	969.27	A	14289	0	43017
rcv	984.923	A	14289	0	43067
snd	984.923	D	43067	50	14289
rcv	1016.15	A	14289	0	43117
snd	1031.803	D	43117	50	14289
rcv	1031.803	A	14289	0	43167
snd	1031.803	D	43167	50	14289
rcv	1031.803	A	14289	0	43217
snd	1031.803	D	43217	50	14289
rcv	1031.803	A	14289	0	43267
snd	1031.803	D	43267	50	14289
rcv	1078.657	A	14289	0	43317
snd	1141.194	D	43317	50	14289
rcv	1156.79	A	14289	0	43367
snd	1156.79	D	43367	43	14289
rcv	1250.581	A	14289	0	43410
snd	1250.581	F	43410	0	14289
rcv	1250.581	A	14289	0	43411
rcv	1250.581	F	14289	0	43411
=====================================================
Amount of (original) Data Transferred (in bytes): 1693
Number of Data Segments Sent (excluding retransmissions): 32
Number of (all) Packets Dropped (by the PLD module): 1
Number of (all) Packets Delayed (for the extended assignment only): 0
Number of Retransmitted Segments: 0
Number of Duplicate Acknowledgements received: 7
