<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
snd	0.0	S	17201	0	0
rcv	0.0	SA	56585	0	17202
snd	0.0	A	17202	0	56586
snd	93.732	D	17202	50	56586
drop	93.732	D	17252	50	56586
drop	93.732	D	17302	50	56586
snd	93.732	D	17352	50	56586
snd	93.732	D	17402	50	56586
rcv	140.724	A	56586	0	17252
rcv	140.724	A	56586	0	17252
drop	531.28	D	17452	50	56586
drop	531.28	D	17502	50	56586
drop	531.28	D	17552	50	56586
drop	531.28	D	17602	50	56586
snd	531.28	D	17652	50	56586
rcv	531.28	A	56586	0	17252
snd	531.28	D	17252	50	56586
rcv	531.28	A	56586	0	17252
snd	547.147	D	17302	50	56586
rcv	547.147	A	56586	0	17302
rcv	547.147	A	56586	0	17452
snd	547.147	D	17252	50	56586
snd	547.147	D	17452	50	56586
rcv	547.147	A	56586	0	17452
drop	547.147	D	17502	50	56586
drop	547.147	D	17552	50	56586
snd	547.147	D	17602	50	56586
rcv	547.147	A	56586	0	17502
snd	547.147	D	17652	50	56586
snd	547.147	D	17702	50	56586
snd	547.147	D	17752	50	56586
rcv	547.147	A	56586	0	17502
rcv	547.147	A	56586	0	17502
rcv	562.772	A	56586	0	17502
snd	1390.965	D	17502	50	56586
rcv	1390.965	A	56586	0	17502
drop	1390.965	D	17552	50	56586
snd	1390.965	D	17602	50	56586
rcv	1390.965	A	56586	0	17552
rcv	1406.571	A	56586	0	17552
drop	1406.571	D	17652	50	56586
snd	1406.571	D	17702	50	56586
snd	1406.571	D	17752	50	56586
drop	1406.571	D	17802	50	56586
snd	1406.571	D	17852	50	56586
rcv	1422.223	A	56586	0	17552
rcv	1422.223	A	56586	0	17552
rcv	1937.874	A	56586	0	17552
drop	1937.874	D	17552	50	56586
drop	1937.874	D	17602	50	56586
snd	1937.874	D	17652	50	56586
drop	1937.874	D	17702	50	56586
snd	1937.874	D	17752	50	56586
drop	1937.874	D	17802	50	56586
snd	1937.874	D	17852	50	56586
rcv	1937.874	A	56586	0	17552
rcv	1937.874	A	56586	0	17552
rcv	1937.874	A	56586	0	17552
drop	1937.874	D	17902	50	56586
drop	1937.874	D	17552	50	56586
drop	1937.874	D	17952	50	56586
snd	1937.874	D	18002	50	56586
snd	2547.357	D	17552	50	56586
rcv	2547.357	A	56586	0	17552
rcv	2547.357	A	56586	0	17802
drop	2547.357	D	17602	50	56586
drop	2547.357	D	17802	50	56586
snd	2547.357	D	17852	50	56586
rcv	2547.357	A	56586	0	17802
snd	2547.357	D	17902	50	56586
rcv	2547.357	A	56586	0	17802
snd	2547.357	D	17952	50	56586
drop	2547.357	D	18002	50	56586
drop	2562.989	D	18052	50	56586
snd	2562.989	D	18102	50	56586
rcv	2562.989	A	56586	0	17802
snd	2562.989	D	17802	50	56586
drop	2562.989	D	17852	50	56586
drop	2562.989	D	17902	50	56586
drop	2562.989	D	17952	50	56586
rcv	2562.989	A	56586	0	17802
rcv	2562.989	A	56586	0	18052
drop	2562.989	D	18002	50	56586
drop	2562.989	D	18052	50	56586
drop	2562.989	D	18152	50	56586
snd	2562.989	D	18202	50	56586
drop	2578.612	D	18252	50	56586
drop	2578.612	D	18052	50	56586
drop	2578.612	D	18102	50	56586
drop	2578.612	D	18152	50	56586
snd	2578.612	D	18202	50	56586
drop	2578.612	D	18252	50	56586
snd	2578.612	D	18302	50	56586
rcv	2578.612	A	56586	0	18052
rcv	2578.612	A	56586	0	18052
drop	2797.378	D	18352	50	56586
rcv	2797.378	A	56586	0	18052
drop	2797.378	D	18402	50	56586
drop	2797.378	D	18052	50	56586
snd	2812.999	D	18102	50	56586
snd	2812.999	D	18152	50	56586
rcv	2812.999	A	56586	0	18052
rcv	2828.641	A	56586	0	18052
drop	2828.641	D	18202	50	56586
drop	2828.641	D	18252	50	56586
snd	2828.641	D	18302	50	56586
drop	2828.641	D	18352	50	56586
snd	2828.641	D	18402	50	56586
rcv	2828.641	A	56586	0	18052
snd	2828.641	D	18052	50	56586
rcv	2828.641	A	56586	0	18052
drop	2828.641	D	18102	50	56586
snd	2828.641	D	18152	50	56586
drop	2828.641	D	18452	50	56586
snd	2828.641	D	18502	50	56586
rcv	2844.044	A	56586	0	18252
rcv	2844.044	A	56586	0	18252
snd	2844.044	D	18052	50	56586
rcv	2844.044	A	56586	0	18252
drop	2844.044	D	18252	50	56586
snd	2844.044	D	18302	50	56586
rcv	2844.044	A	56586	0	18252
drop	2844.044	D	18352	50	56586
snd	2844.044	D	18252	50	56586
rcv	2844.044	A	56586	0	18252
snd	3048.317	D	18302	50	56586
rcv	3048.317	A	56586	0	18352
drop	3048.317	D	18352	50	56586
drop	3048.317	D	18402	50	56586
drop	3063.943	D	18452	50	56586
drop	3063.943	D	18502	50	56586
drop	3063.943	D	18552	50	56586
snd	3063.943	D	18602	50	56586
rcv	3063.943	A	56586	0	18352
drop	3079.568	D	18652	50	56586
drop	3095.134	D	18702	50	56586
rcv	3095.134	A	56586	0	18352
drop	3095.134	D	18352	50	56586
drop	3095.134	D	18402	50	56586
snd	3095.134	D	18452	50	56586
rcv	3470.15	A	56586	0	18352
drop	3470.15	D	18502	50	56586
drop	3470.15	D	18552	50	56586
drop	3470.15	D	18602	50	56586
drop	3470.15	D	18652	50	56586
snd	3470.15	D	18702	50	56586
rcv	3688.983	A	56586	0	18352
drop	3688.983	D	18352	50	56586
drop	3688.983	D	18402	50	56586
snd	3688.983	D	18452	50	56586
rcv	3688.983	A	56586	0	18352
snd	3704.587	D	18502	50	56586
rcv	3704.587	A	56586	0	18352
drop	3704.587	D	18552	50	56586
drop	3704.587	D	18352	50	56586
snd	3704.587	D	18402	50	56586
snd	3704.587	D	18452	50	56586
rcv	3704.587	A	56586	0	18352
rcv	3845.271	A	56586	0	18352
drop	3845.271	D	18502	50	56586
snd	3845.271	D	18552	50	56586
rcv	3860.902	A	56586	0	18352
drop	3907.783	D	18602	50	56586
drop	3907.783	D	18352	50	56586
snd	3907.783	D	18402	50	56586
rcv	3923.173	A	56586	0	18352
drop	3923.173	D	18452	50	56586
drop	3923.173	D	18502	50	56586
snd	3923.173	D	18552	50	56586
snd	3923.173	D	18602	50	56586
rcv	3923.173	A	56586	0	18352
rcv	4492.083	A	56586	0	18352
drop	4507.707	D	18652	50	56586
drop	4569.987	D	18352	50	56586
snd	4569.987	D	18402	50	56586
snd	4569.987	D	18452	50	56586
snd	4569.987	D	18502	50	56586
rcv	4569.987	A	56586	0	18352
rcv	4569.987	A	56586	0	18352
rcv	4913.798	A	56586	0	18352
drop	4913.798	D	18352	50	56586
snd	4913.798	D	18402	50	56586
rcv	4913.798	A	56586	0	18352
snd	4913.798	D	18452	50	56586
drop	4913.798	D	18502	50	56586
drop	4913.798	D	18552	50	56586
snd	4913.798	D	18602	50	56586
rcv	4913.798	A	56586	0	18352
rcv	4929.4	A	56586	0	18352
snd	4929.4	D	18652	50	56586
drop	4929.4	D	18352	50	56586
snd	4929.4	D	18402	50	56586
rcv	4929.4	A	56586	0	18352
rcv	5898.489	A	56586	0	18352
snd	5898.489	D	18452	50	56586
snd	5898.489	D	18502	50	56586
rcv	5915.32	A	56586	0	18352
rcv	5915.32	A	56586	0	18352
drop	5915.32	D	18552	50	56586
snd	5915.32	D	18352	50	56586
rcv	5931.177	A	56586	0	18752
drop	5931.177	D	18402	50	56586
snd	5931.177	D	18752	50	56586
snd	5931.177	D	18802	50	56586
drop	5931.177	D	18852	50	56586
snd	5931.177	D	18902	50	56586
snd	5931.177	D	18952	50	56586
rcv	5931.177	A	56586	0	18802
rcv	5946.814	A	56586	0	18852
rcv	5946.814	A	56586	0	18852
snd	6681.319	D	19002	50	56586
drop	6681.319	D	19052	50	56586
snd	6681.319	D	19102	50	56586
rcv	6681.319	A	56586	0	18852
rcv	6681.319	A	56586	0	18852
drop	6681.319	D	19152	4	56586
rcv	6681.319	A	56586	0	18852
snd	6681.319	D	18852	50	56586
snd	6681.319	D	18902	50	56586
rcv	6696.95	A	56586	0	19052
rcv	6696.95	A	56586	0	19052
snd	6696.95	D	18952	50	56586
snd	6696.95	D	19052	50	56586
rcv	6696.95	A	56586	0	19052
rcv	6696.95	A	56586	0	19152
snd	6696.95	D	19102	50	56586
drop	6696.95	D	19152	4	56586
drop	6712.339	D	19152	4	56586
rcv	6743.836	A	56586	0	19152
drop	6759.22	D	19152	4	56586
drop	6759.22	D	19152	4	56586
drop	6790.705	D	19152	4	56586
drop	6790.705	D	19152	4	56586
snd	6806.128	D	19152	4	56586
rcv	7697.051	A	56586	0	19156
snd	7697.051	D	19152	4	56586
snd	7697.051	F	19156	0	56586
rcv	7697.051	A	56586	0	19156
rcv	7697.051	A	56586	0	19157
rcv	7697.051	F	56586	0	19157
snd	7697.051	A	51299	0	56587
=====================================================
Amount of (original) Data Transferred (in bytes): 7486
Number of Data Segments Sent (excluding retransmissions): 40
Number of (all) Packets Dropped (by the PLD module): 82
Number of (all) Packets Delayed (for the extended assignment only): 15
Number of Retransmitted Segments: 102
Number of Duplicate Acknowledgements received: 51
