<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
snd	4534.03	D	21229	50	9524
rcv	4541.08	A	9524	0	21179
snd	4541.08	D	21279	50	9524
snd	4541.08	D	21329	50	9524
rcv	4546.061	A	9524	0	21179
rcv	4886.32	A	9524	0	21179
drop	4886.32	D	21379	50	9524
snd	4886.32	D	21429	50	9524
rcv	4886.32	A	9524	0	21179
snd	4901.947	D	21179	50	9524
drop	4901.947	D	21229	50	9524
drop	4917.573	D	21279	50	9524
snd	4917.573	D	21329	50	9524
rcv	4917.573	A	9524	0	21579
snd	4917.573	D	21379	50	9524
rcv	4917.573	A	9524	0	21579
rcv	4917.573	A	9524	0	21579
drop	4917.573	D	21579	50	9524
snd	4917.573	D	21629	50	9524
rcv	5869.856	A	9524	0	21579
snd	5869.856	D	21579	50	9524
rcv	5869.856	A	9524	0	21679
snd	5869.856	D	21579	50	9524
drop	5869.856	D	21679	50	9524
snd	5869.856	D	21729	50	9524
rcv	5869.856	A	9524	0	21679
drop	5869.856	D	21779	4	9524
rcv	5885.509	A	9524	0	21679
snd	5885.509	D	21679	50	9524
rcv	5885.509	A	9524	0	21779
snd	5885.509	D	21779	4	9524
rcv	5901.137	A	9524	0	21783
drop	5901.137	D	21779	4	9524
snd	5916.736	F	21783	0	9524
rcv	5916.736	A	9524	0	21784
rcv	5916.736	F	9524	0	21784
=====================================================
Amount of (original) Data Transferred (in bytes): 6812
Number of Data Segments Sent (excluding retransmissions): 40
Number of (all) Packets Dropped (by the PLD module): 74
Number of (all) Packets Delayed (for the extended assignment only): 13
Number of Retransmitted Segments: 86
Number of Duplicate Acknowledgements received: 45
